Date,Year,Quarter,Year_Quarter,Month_Num,Month_Name,Year_Month,Week_Num,Day,Weekday,Is_Weekend
2014-04-28,2014,Q2,2014-Q2,4,April,2014-04,18,28,Monday,0
2014-04-29,2014,Q2,2014-Q2,4,April,2014-04,18,29,Tuesday,0
2014-04-30,2014,Q2,2014-Q2,4,April,2014-04,18,30,Wednesday,0
2014-05-01,2014,Q2,2014-Q2,5,May,2014-05,18,1,Thursday,0
2014-05-02,2014,Q2,2014-Q2,5,May,2014-05,18,2,Friday,0
2014-05-03,2014,Q2,2014-Q2,5,May,2014-05,18,3,Saturday,1
2014-05-04,2014,Q2,2014-Q2,5,May,2014-05,18,4,Sunday,1
2014-05-05,2014,Q2,2014-Q2,5,May,2014-05,19,5,Monday,0
2014-05-06,2014,Q2,2014-Q2,5,May,2014-05,19,6,Tuesday,0
2014-05-07,2014,Q2,2014-Q2,5,May,2014-05,19,7,Wednesday,0
2014-05-08,2014,Q2,2014-Q2,5,May,2014-05,19,8,Thursday,0
2014-05-09,2014,Q2,2014-Q2,5,May,2014-05,19,9,Friday,0
2014-05-10,2014,Q2,2014-Q2,5,May,2014-05,19,10,Saturday,1
2014-05-11,2014,Q2,2014-Q2,5,May,2014-05,19,11,Sunday,1
2014-05-12,2014,Q2,2014-Q2,5,May,2014-05,20,12,Monday,0
2014-05-13,2014,Q2,2014-Q2,5,May,2014-05,20,13,Tuesday,0
2014-05-14,2014,Q2,2014-Q2,5,May,2014-05,20,14,Wednesday,0
2014-05-15,2014,Q2,2014-Q2,5,May,2014-05,20,15,Thursday,0
2014-05-16,2014,Q2,2014-Q2,5,May,2014-05,20,16,Friday,0
2014-05-17,2014,Q2,2014-Q2,5,May,2014-05,20,17,Saturday,1
2014-05-18,2014,Q2,2014-Q2,5,May,2014-05,20,18,Sunday,1
2014-05-19,2014,Q2,2014-Q2,5,May,2014-05,21,19,Monday,0
2014-05-20,2014,Q2,2014-Q2,5,May,2014-05,21,20,Tuesday,0
2014-05-21,2014,Q2,2014-Q2,5,May,2014-05,21,21,Wednesday,0
2014-05-22,2014,Q2,2014-Q2,5,May,2014-05,21,22,Thursday,0
2014-05-23,2014,Q2,2014-Q2,5,May,2014-05,21,23,Friday,0
2014-05-24,2014,Q2,2014-Q2,5,May,2014-05,21,24,Saturday,1
2014-05-25,2014,Q2,2014-Q2,5,May,2014-05,21,25,Sunday,1
2014-05-26,2014,Q2,2014-Q2,5,May,2014-05,22,26,Monday,0
2014-05-27,2014,Q2,2014-Q2,5,May,2014-05,22,27,Tuesday,0
2014-05-28,2014,Q2,2014-Q2,5,May,2014-05,22,28,Wednesday,0
2014-05-29,2014,Q2,2014-Q2,5,May,2014-05,22,29,Thursday,0
2014-05-30,2014,Q2,2014-Q2,5,May,2014-05,22,30,Friday,0
2014-05-31,2014,Q2,2014-Q2,5,May,2014-05,22,31,Saturday,1
2014-06-01,2014,Q2,2014-Q2,6,June,2014-06,22,1,Sunday,1
2014-06-02,2014,Q2,2014-Q2,6,June,2014-06,23,2,Monday,0
2014-06-03,2014,Q2,2014-Q2,6,June,2014-06,23,3,Tuesday,0
2014-06-04,2014,Q2,2014-Q2,6,June,2014-06,23,4,Wednesday,0
2014-06-05,2014,Q2,2014-Q2,6,June,2014-06,23,5,Thursday,0
2014-06-06,2014,Q2,2014-Q2,6,June,2014-06,23,6,Friday,0
